PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Draymond Green,Warriors,24 February 2023,28 February 2023,4,bruised right knee
Jeff Green,Nuggets,22 November 2022,06 December 2022,14,bruised right knee
Jaden Springer,76ers,16 April 2022,18 April 2022,2,bruised right knee
Fred VanVleet,Raptors,16 February 2022,25 February 2022,9,bruised right knee
Tyler Herro,Heat,14 February 2022,24 February 2022,10,bruised right knee
Caris LeVert,Pacers,13 May 2021,15 May 2021,2,bruised right knee
Devonte' Graham,Hornets,01 May 2021,02 May 2021,1,bruised right knee
Rudy Gobert,Jazz,17 April 2021,19 April 2021,2,bruised right knee
Avery Bradley,Rockets,24 February 2021,29 March 2021,33,bruised right knee
Tobias Harris,76ers,26 February 2021,03 March 2021,5,bruised right knee
Avery Bradley,Heat,28 January 2021,01 February 2021,4,bruised right knee
Kelly Olynyk,Heat,04 September 2020,06 September 2020,2,bruised right knee
Serge Ibaka,Raptors,10 August 2020,17 August 2020,7,bruised right knee
Gordon Hayward,Celtics,04 March 2020,08 March 2020,4,bruised right knee
Eric Gordon,Rockets,26 February 2020,29 February 2020,3,bruised right knee
Garrett Temple,Nets,14 January 2020,19 January 2020,5,bruised right knee
Steven Adams,Thunder,17 January 2020,18 January 2020,1,bruised right knee
Garrett Temple,Nets,10 January 2020,12 January 2020,2,bruised right knee
Garrett Temple,Nets,02 January 2020,04 January 2020,2,bruised right knee
Fred VanVleet,Raptors,11 December 2019,20 December 2019,9,bruised right knee
Bogdan Bogdanovic,Kings,04 December 2019,06 December 2019,2,bruised right knee
Maxi Kleber,Mavericks,03 November 2019,06 November 2019,3,bruised right knee
Kyrie Irving,Celtics,09 April 2019,13 April 2019,4,bruised right knee
Maxi Kleber,Mavericks,07 April 2019,09 April 2019,2,bruised right knee
Luka Doncic,Mavericks,16 March 2019,18 March 2019,2,bruised right knee
Dewayne Dedmon,Hawks,06 March 2019,10 March 2019,4,bruised right knee
Rodney McGruder,Heat,25 February 2019,27 February 2019,2,bruised right knee
Eric Gordon,Rockets,31 December 2018,16 January 2019,16,bruised right knee
Domantas Sabonis,Pacers,20 October 2018,22 October 2018,2,bruised right knee
Willie Cauley-Stein,Kings,28 January 2018,02 February 2018,5,bruised right knee
Victor Oladipo,Pacers,25 November 2017,27 November 2017,2,bruised right knee
Nik Stauskas,76ers,23 December 2016,26 December 2016,3,bruised right knee
Kentavious Caldwell-Pope,Pistons,11 December 2016,14 December 2016,3,bruised right knee
Nerlens Noel,76ers,23 March 2016,05 April 2016,13,bruised right knee
Jerami Grant,76ers,29 March 2016,01 April 2016,3,bruised right knee
DeMarcus Cousins,Kings,23 March 2016,25 March 2016,2,bruised right knee
Nerlens Noel,76ers,04 March 2016,09 March 2016,5,bruised right knee
DeMarre Carroll,Raptors,20 December 2015,26 December 2015,6,bruised right knee
DeMarre Carroll,Raptors,07 December 2015,13 December 2015,6,bruised right knee
J.R. Smith,Cavaliers,03 November 2015,10 November 2015,7,bruised right knee
Danilo Gallinari,Nuggets,13 December 2014,17 December 2014,4,bruised right knee
Lance Stephenson,Pacers,08 January 2014,10 January 2014,2,bruised right knee
Eric Gordon,Hornets,18 January 2012,04 April 2012,77,bruised right knee
Giannis Antetokounmpo,Bucks,05 April 2023,16 April 2023,11,sore right knee
Khris Middleton,Bucks,06 April 2023,16 April 2023,10,sore right knee
Caris LeVert,Cavaliers,09 April 2023,15 April 2023,6,sore right knee
Kyle Lowry,Heat,29 March 2023,01 April 2023,3,sore right knee
Giannis Antetokounmpo,Bucks,27 March 2023,29 March 2023,2,sore right knee
Javonte Green,Bulls,09 January 2023,20 March 2023,70,sore right knee
Kyle Kuzma,Wizards,14 March 2023,16 March 2023,2,sore right knee
Jeremy Sochan,Spurs,12 March 2023,14 March 2023,2,sore right knee
Cameron Johnson,Nets,08 March 2023,10 March 2023,2,sore right knee
Khris Middleton,Bucks,16 February 2023,23 February 2023,7,sore right knee
Josh Richardson,Spurs,26 January 2023,01 February 2023,6,sore right knee
Doug McDermott,Spurs,27 December 2022,29 December 2022,2,sore right knee
Javonte Green,Bulls,04 December 2022,11 December 2022,7,sore right knee
Bojan Bogdanovic,Pistons,27 November 2022,29 November 2022,2,sore right knee
Jakob Poeltl,Spurs,20 November 2022,23 November 2022,3,sore right knee
Ziaire Williams,Grizzlies,29 April 2022,03 May 2022,4,sore right knee
Giannis Antetokounmpo,Bucks,10 April 2022,16 April 2022,6,sore right knee
Fred VanVleet,Raptors,07 April 2022,15 April 2022,8,sore right knee
Ja Morant,Grizzlies,10 April 2022,15 April 2022,5,sore right knee
Joel Embiid,76ers,10 April 2022,15 April 2022,5,sore right knee
Will Barton,Nuggets,10 April 2022,15 April 2022,5,sore right knee
Cameron Payne,Suns,08 April 2022,13 April 2022,5,sore right knee
Devonte' Graham,Pelicans,10 April 2022,13 April 2022,3,sore right knee
Jarrett Culver,Grizzlies,07 April 2022,10 April 2022,3,sore right knee
Keldon Johnson,Spurs,08 April 2022,10 April 2022,2,sore right knee
Ja Morant,Grizzlies,19 March 2022,09 April 2022,21,sore right knee
Giannis Antetokounmpo,Bucks,01 April 2022,03 April 2022,2,sore right knee
Miles McBride,Knicks,02 April 2022,03 April 2022,1,sore right knee
Quentin Grimes,Knicks,27 March 2022,03 April 2022,7,sore right knee
De'Andre Hunter,Hawks,28 March 2022,30 March 2022,2,sore right knee
Bogdan Bogdanovic,Hawks,25 March 2022,28 March 2022,3,sore right knee
Davis Bertans,Mavericks,21 March 2022,27 March 2022,6,sore right knee
Giannis Antetokounmpo,Bucks,24 March 2022,26 March 2022,2,sore right knee
Giannis Antetokounmpo,Bucks,19 March 2022,22 March 2022,3,sore right knee
Dean Wade,Cavaliers,14 March 2022,21 March 2022,7,sore right knee
Marquese Chriss,Mavericks,11 February 2022,18 March 2022,35,sore right knee
Fred VanVleet,Raptors,12 March 2022,14 March 2022,2,sore right knee
Bones Hyland,Nuggets,09 March 2022,10 March 2022,1,sore right knee
Fred VanVleet,Raptors,28 February 2022,09 March 2022,9,sore right knee
Kristaps Porzingis,Wizards,30 January 2022,05 March 2022,34,sore right knee
Rudy Gay,Jazz,07 February 2022,27 February 2022,20,sore right knee
Tre Jones,Spurs,16 February 2022,24 February 2022,8,sore right knee
Tyler Herro,Heat,07 February 2022,12 February 2022,5,sore right knee
Lonnie Walker IV,Spurs,04 February 2022,09 February 2022,5,sore right knee
Jordan Clarkson,Jazz,02 February 2022,07 February 2022,5,sore right knee
Fred VanVleet,Raptors,25 January 2022,29 January 2022,4,sore right knee
Bogdan Bogdanovic,Hawks,15 January 2022,26 January 2022,11,sore right knee
Giannis Antetokounmpo,Bucks,22 January 2022,26 January 2022,4,sore right knee
Terrence Ross,Magic,23 January 2022,25 January 2022,2,sore right knee
Reggie Bullock,Mavericks,17 January 2022,19 January 2022,2,sore right knee
Scottie Barnes,Raptors,11 January 2022,14 January 2022,3,sore right knee
Andre Iguodala,Warriors,03 January 2022,06 January 2022,3,sore right knee
Andre Iguodala,Warriors,22 December 2021,28 December 2021,6,sore right knee
Brandon Clarke,Grizzlies,04 December 2021,26 December 2021,22,sore right knee
Andre Iguodala,Warriors,19 November 2021,11 December 2021,22,sore right knee
Nerlens Noel,Knicks,02 December 2021,04 December 2021,2,sore right knee
Nerlens Noel,Knicks,27 November 2021,30 November 2021,3,sore right knee
Naji Marshall,Pelicans,10 November 2021,12 November 2021,2,sore right knee
Kristaps Porzingis,Mavericks,01 May 2021,12 May 2021,11,sore right knee
De'Andre Hunter,Hawks,26 March 2021,10 May 2021,45,sore right knee
Jerami Grant,Pistons,28 April 2021,08 May 2021,10,sore right knee
Khris Middleton,Bucks,05 May 2021,06 May 2021,1,sore right knee
Hamidou Diallo,Pistons,01 May 2021,03 May 2021,2,sore right knee
Bruce Brown,Nets,26 April 2021,01 May 2021,5,sore right knee
Tyler Johnson,Nets,05 April 2021,25 April 2021,20,sore right knee
Tobias Harris,76ers,16 April 2021,22 April 2021,6,sore right knee
Bam Adebayo,Heat,19 April 2021,21 April 2021,2,sore right knee
Derrick Favors,Jazz,16 April 2021,19 April 2021,3,sore right knee
Mike Conley,Jazz,17 April 2021,19 April 2021,2,sore right knee
Jerami Grant,Pistons,16 April 2021,17 April 2021,1,sore right knee
Jerami Grant,Pistons,07 April 2021,13 April 2021,6,sore right knee
Jontay Porter,Grizzlies,09 April 2021,13 April 2021,4,sore right knee
Jamal Murray,Nuggets,06 April 2021,12 April 2021,6,sore right knee
Khris Middleton,Bucks,09 April 2021,11 April 2021,2,sore right knee
Tobias Harris,76ers,10 April 2021,11 April 2021,1,sore right knee
Patrick Beverley,Clippers,01 April 2021,06 April 2021,5,sore right knee
Hassan Whiteside,Kings,28 March 2021,05 April 2021,8,sore right knee
Terrence Ross,Magic,21 March 2021,30 March 2021,9,sore right knee
Hassan Whiteside,Kings,25 March 2021,26 March 2021,1,sore right knee
Abdel Nader,Suns,15 March 2021,18 March 2021,3,sore right knee
Timothe Luwawu-Cabarrot,Nets,01 March 2021,15 March 2021,14,sore right knee
Malcolm Brogdon,Pacers,27 February 2021,01 March 2021,2,sore right knee
Davis Bertans,Wizards,25 February 2021,27 February 2021,2,sore right knee
Richaun Holmes,Kings,15 February 2021,21 February 2021,6,sore right knee
Doug McDermott,Pacers,15 February 2021,17 February 2021,2,sore right knee
Patrick Beverley,Clippers,25 January 2021,10 February 2021,16,sore right knee
Eric Paschall,Warriors,04 February 2021,08 February 2021,4,sore right knee
De'Andre Hunter,Hawks,20 January 2021,22 January 2021,2,sore right knee
Joel Embiid,76ers,15 January 2021,19 January 2021,4,sore right knee
Gabe Vincent,Heat,09 January 2021,12 January 2021,3,sore right knee
Omari Spellman,Knicks,22 December 2020,06 January 2021,15,sore right knee
Gabe Vincent,Heat,01 January 2021,04 January 2021,3,sore right knee
Mike Conley,Jazz,12 August 2020,21 August 2020,9,sore right knee
Anthony Davis,Lakers,13 August 2020,18 August 2020,5,sore right knee
Bam Adebayo,Heat,14 August 2020,18 August 2020,4,sore right knee
OG Anunoby,Raptors,12 August 2020,17 August 2020,5,sore right knee
Eric Bledsoe,Bucks,11 August 2020,12 August 2020,1,sore right knee
Jerami Grant,Nuggets,10 August 2020,12 August 2020,2,sore right knee
Juwan Morgan,Jazz,08 August 2020,12 August 2020,4,sore right knee
Doug McDermott,Pacers,06 August 2020,08 August 2020,2,sore right knee
Gabe Vincent,Heat,06 August 2020,08 August 2020,2,sore right knee
Mike Conley,Jazz,06 August 2020,08 August 2020,2,sore right knee
Mike Scott,76ers,01 August 2020,07 August 2020,6,sore right knee
Oshae Brissett,Raptors,01 August 2020,07 August 2020,6,sore right knee
Dwight Howard,Lakers,05 August 2020,06 August 2020,1,sore right knee
Frank Kaminsky,Suns,01 January 2020,31 July 2020,212,sore right knee
Eric Gordon,Rockets,07 March 2020,10 March 2020,3,sore right knee
Victor Oladipo,Pacers,02 March 2020,06 March 2020,4,sore right knee
Serge Ibaka,Raptors,28 February 2020,05 March 2020,6,sore right knee
Anthony Davis,Lakers,01 March 2020,03 March 2020,2,sore right knee
Davis Bertans,Wizards,24 February 2020,26 February 2020,2,sore right knee
Tyler Johnson,Suns,03 February 2020,11 February 2020,8,sore right knee
Derrick Rose,Pistons,27 January 2020,29 January 2020,2,sore right knee
Jae Crowder,Grizzlies,26 January 2020,29 January 2020,3,sore right knee
TJ Leaf,Pacers,24 January 2020,26 January 2020,2,sore right knee
Kristaps Porzingis,Mavericks,31 December 2019,21 January 2020,21,sore right knee
Brandon Ingram,Pelicans,13 January 2020,16 January 2020,3,sore right knee
Jayson Tatum,Celtics,15 January 2020,16 January 2020,1,sore right knee
Daniel Theis,Celtics,13 January 2020,15 January 2020,2,sore right knee
Eric Gordon,Rockets,09 January 2020,11 January 2020,2,sore right knee
Ersan Ilyasova,Bucks,10 January 2020,11 January 2020,1,sore right knee
Edmond Sumner,Pacers,02 January 2020,04 January 2020,2,sore right knee
Marvin Williams,Hornets,08 December 2019,17 December 2019,9,sore right knee
Brandon Ingram,Pelicans,11 November 2019,19 November 2019,8,sore right knee
Dwayne Bacon,Hornets,13 November 2019,16 November 2019,3,sore right knee
Terrence Ross,Magic,06 November 2019,10 November 2019,4,sore right knee
Jaren Jackson Jr.,Grizzlies,04 November 2019,06 November 2019,2,sore right knee
Derrick Favors,Pelicans,28 October 2019,04 November 2019,7,sore right knee
Kadeem Allen,Knicks,23 October 2019,01 November 2019,9,sore right knee
Romeo Langford,Celtics,23 October 2019,30 October 2019,7,sore right knee
Kyle Korver,Jazz,01 April 2019,14 April 2019,13,sore right knee
Klay Thompson,Warriors,09 April 2019,10 April 2019,1,sore right knee
Furkan Korkmaz,76ers,25 February 2019,09 April 2019,43,sore right knee
Joakim Noah,Grizzlies,22 March 2019,23 March 2019,1,sore right knee
Klay Thompson,Warriors,05 March 2019,08 March 2019,3,sore right knee
Eric Gordon,Rockets,28 February 2019,03 March 2019,3,sore right knee
Giannis Antetokounmpo,Bucks,25 February 2019,27 February 2019,2,sore right knee
Furkan Korkmaz,76ers,13 February 2019,21 February 2019,8,sore right knee
Giannis Antetokounmpo,Bucks,09 February 2019,11 February 2019,2,sore right knee
Eric Gordon,Rockets,04 February 2019,06 February 2019,2,sore right knee
Damian Lillard,Blazers,26 January 2019,30 January 2019,4,sore right knee
Jevon Carter,Grizzlies,10 December 2018,15 December 2018,5,sore right knee
David Nwaba,Cavaliers,30 November 2018,12 December 2018,12,sore right knee
Victor Oladipo,Pacers,19 November 2018,12 December 2018,23,sore right knee
Robert Covington,Timberwolves,08 December 2018,10 December 2018,2,sore right knee
Maxi Kleber,Mavericks,02 December 2018,04 December 2018,2,sore right knee
David Nwaba,Cavaliers,26 November 2018,28 November 2018,2,sore right knee
Ersan Ilyasova,Bucks,26 November 2018,28 November 2018,2,sore right knee
Serge Ibaka,Raptors,14 November 2018,16 November 2018,2,sore right knee
Tyus Jones,Timberwolves,23 April 2018,25 April 2018,2,sore right knee
Goran Dragic,Heat,11 April 2018,14 April 2018,3,sore right knee
LaMarcus Aldridge,Spurs,12 March 2018,13 March 2018,1,sore right knee
LaMarcus Aldridge,Spurs,12 February 2018,23 February 2018,11,sore right knee
Ben McLemore,Grizzlies,26 January 2018,31 January 2018,5,sore right knee
Jimmy Butler,Timberwolves,20 January 2018,27 January 2018,7,sore right knee
Giannis Antetokounmpo,Bucks,20 January 2018,26 January 2018,6,sore right knee
Victor Oladipo,Pacers,27 December 2017,06 January 2018,10,sore right knee
Jaylen Brown,Celtics,27 December 2017,31 December 2017,4,sore right knee
JaMychal Green,Grizzlies,23 December 2017,30 December 2017,7,sore right knee
Giannis Antetokounmpo,Bucks,23 December 2017,26 December 2017,3,sore right knee
Ian Mahinmi,Wizards,12 December 2017,15 December 2017,3,sore right knee
Giannis Antetokounmpo,Bucks,22 November 2017,25 November 2017,3,sore right knee
Thabo Sefolosha,Jazz,17 November 2017,18 November 2017,1,sore right knee
Patrick Beverley,Clippers,10 November 2017,17 November 2017,7,sore right knee
Rodney Hood,Jazz,09 April 2017,12 April 2017,3,sore right knee
Derrick Favors,Jazz,08 March 2017,07 April 2017,30,sore right knee
Rodney Hood,Jazz,04 April 2017,07 April 2017,3,sore right knee
Jahlil Okafor,76ers,20 March 2017,22 March 2017,2,sore right knee
Rodney Hood,Jazz,16 March 2017,20 March 2017,4,sore right knee
Robert Covington,76ers,12 March 2017,14 March 2017,2,sore right knee
Jahlil Okafor,76ers,04 March 2017,09 March 2017,5,sore right knee
Rodney Hood,Jazz,01 March 2017,05 March 2017,4,sore right knee
Caris LeVert,Nets,05 February 2017,08 February 2017,3,sore right knee
Ian Mahinmi,Wizards,28 November 2016,08 February 2017,72,sore right knee
LaMarcus Aldridge,Spurs,02 February 2017,04 February 2017,2,sore right knee
Jahlil Okafor,76ers,24 January 2017,30 January 2017,6,sore right knee
Kent Bazemore,Hawks,07 December 2016,13 December 2016,6,sore right knee
Blake Griffin,Clippers,10 December 2016,12 December 2016,2,sore right knee
Zach LaVine,Timberwolves,13 November 2016,15 November 2016,2,sore right knee
Derrick Favors,Jazz,01 April 2016,03 April 2016,2,sore right knee
Larry Nance Jr.,Lakers,22 March 2016,23 March 2016,1,sore right knee
Larry Nance Jr.,Lakers,17 January 2016,26 January 2016,9,sore right knee
Hassan Whiteside,Heat,04 January 2016,06 January 2016,2,sore right knee
Doug McDermott,Bulls,28 December 2015,30 December 2015,2,sore right knee
Nerlens Noel,76ers,27 November 2015,01 December 2015,4,sore right knee
Carmelo Anthony,Knicks,14 March 2013,20 March 2013,6,sore right knee
Carmelo Anthony,Knicks,06 March 2013,11 March 2013,5,sore right knee
Eric Bledsoe,Clippers,01 February 2012,11 February 2012,10,sore right knee
Marcus Smart,Celtics,05 April 2023,15 April 2023,10,neck spasms
Cedi Osman,Cavaliers,15 February 2023,22 February 2023,7,neck spasms
Andre Iguodala,Warriors,18 April 2022,21 April 2022,3,neck spasms
Kyle Kuzma,Wizards,21 January 2022,22 January 2022,1,neck spasms
Kendrick Nunn,Heat,26 April 2021,28 April 2021,2,neck spasms
Alex Caruso,Lakers,03 March 2021,11 March 2021,8,neck spasms
Andre Iguodala,Heat,28 January 2021,30 January 2021,2,neck spasms
Tyler Herro,Heat,22 January 2021,28 January 2021,6,neck spasms
George Hill,Thunder,29 December 2020,30 December 2020,1,neck spasms
Alex Caruso,Lakers,12 August 2020,18 August 2020,6,neck spasms
Alex Caruso,Lakers,06 August 2020,08 August 2020,2,neck spasms
E'Twaun Moore,Pelicans,28 January 2020,30 January 2020,2,neck spasms
Derrick Favors,Jazz,05 March 2018,07 March 2018,2,neck spasms
Tyson Chandler,Suns,02 March 2018,04 March 2018,2,neck spasms
Tyson Chandler,Suns,23 February 2018,28 February 2018,5,neck spasms
Aron Baynes,Spurs,09 January 2015,10 January 2015,1,neck spasms
De'Aaron Fox,Kings,25 March 2023,27 March 2023,2,right hamstring injury
Kevin Huerter,Kings,17 March 2023,24 March 2023,7,right hamstring injury
Maxi Kleber,Mavericks,08 March 2023,10 March 2023,2,right hamstring injury
Maxi Kleber,Mavericks,05 March 2023,07 March 2023,2,right hamstring injury
Caris LeVert,Cavaliers,02 February 2023,06 February 2023,4,right hamstring injury
Keldon Johnson,Spurs,19 December 2022,11 January 2023,23,right hamstring injury
Nicolas Claxton,Nets,09 December 2022,12 December 2022,3,right hamstring injury
Myles Turner,Pacers,05 December 2022,07 December 2022,2,right hamstring injury
Paul George,Clippers,21 November 2022,05 December 2022,14,right hamstring injury
Brandon Ingram,Pelicans,07 April 2022,12 April 2022,5,right hamstring injury
Luke Kennard,Clippers,06 April 2022,08 April 2022,2,right hamstring injury
Brandon Ingram,Pelicans,08 March 2022,27 March 2022,19,right hamstring injury
Eric Gordon,Rockets,07 March 2022,08 March 2022,1,right hamstring injury
Zeke Nnaji,Nuggets,12 February 2022,23 February 2022,11,right hamstring injury
Danilo Gallinari,Hawks,04 February 2022,06 February 2022,2,right hamstring injury
Will Barton,Nuggets,25 January 2022,26 January 2022,1,right hamstring injury
Rajon Rondo,Cavaliers,12 January 2022,24 January 2022,12,right hamstring injury
Solomon Hill,Knicks,06 December 2021,19 January 2022,44,right hamstring injury
Keita Bates-Diop,Spurs,01 January 2022,04 January 2022,3,right hamstring injury
Jaylen Brown,Celtics,03 December 2021,12 December 2021,9,right hamstring injury
Rodney Hood,Bucks,19 November 2021,20 November 2021,1,right hamstring injury
Gary Harris,Magic,20 October 2021,25 October 2021,5,right hamstring injury
James Harden,Nets,16 May 2021,22 May 2021,6,right hamstring injury
Mike Conley,Jazz,27 April 2021,14 May 2021,17,right hamstring injury
Monte Morris,Nuggets,13 May 2021,14 May 2021,1,right hamstring injury
Damian Lillard,Blazers,16 April 2021,21 April 2021,5,right hamstring injury
DeAndre' Bembry,Raptors,13 April 2021,16 April 2021,3,right hamstring injury
Mike Conley,Jazz,11 April 2021,13 April 2021,2,right hamstring injury
James Harden,Nets,01 April 2021,05 April 2021,4,right hamstring injury
Mike Conley,Jazz,03 April 2021,05 April 2021,2,right hamstring injury
Mike Conley,Jazz,27 March 2021,28 March 2021,1,right hamstring injury
Collin Sexton,Cavaliers,24 March 2021,27 March 2021,3,right hamstring injury
Elfrid Payton,Knicks,13 March 2021,23 March 2021,10,right hamstring injury
Mike Conley,Jazz,18 March 2021,19 March 2021,1,right hamstring injury
Elfrid Payton,Knicks,25 February 2021,04 March 2021,7,right hamstring injury
JJ Redick,Pelicans,27 February 2021,01 March 2021,2,right hamstring injury
Mike Conley,Jazz,27 February 2021,28 February 2021,1,right hamstring injury
Mike Conley,Jazz,06 February 2021,19 February 2021,13,right hamstring injury
Chris Paul,Suns,08 February 2021,10 February 2021,2,right hamstring injury
Terrence Ross,Magic,31 December 2020,02 January 2021,2,right hamstring injury
Tristan Thompson,Celtics,30 December 2020,31 December 2020,1,right hamstring injury
Alex Caruso,Lakers,03 March 2020,06 March 2020,3,right hamstring injury
Kyrie Irving,Nets,20 January 2020,23 January 2020,3,right hamstring injury
Josh Richardson,76ers,29 November 2019,10 December 2019,11,right hamstring injury
Derrick Rose,Pistons,04 November 2019,11 November 2019,7,right hamstring injury
Ricky Rubio,Jazz,03 April 2019,05 April 2019,2,right hamstring injury
Shabazz Napier,Nets,16 March 2019,17 March 2019,1,right hamstring injury
Devin Booker,Suns,06 February 2019,10 February 2019,4,right hamstring injury
Lou Williams,Clippers,20 January 2019,22 January 2019,2,right hamstring injury
Lou Williams,Clippers,18 January 2019,20 January 2019,2,right hamstring injury
Shabazz Napier,Nets,14 January 2019,16 January 2019,2,right hamstring injury
Raul Neto,Jazz,17 October 2018,19 November 2018,33,right hamstring injury
Donovan Mitchell,Jazz,02 November 2018,03 November 2018,1,right hamstring injury
Justise Winslow,Heat,17 October 2018,27 October 2018,10,right hamstring injury
Raul Neto,Jazz,18 October 2017,20 October 2017,2,right hamstring injury
James Johnson,Raptors,30 January 2015,06 February 2015,7,right hamstring injury
Jaylen Nowell,Timberwolves,29 March 2023,11 April 2023,13,left knee injury
De'Andre Hunter,Hawks,31 March 2023,07 April 2023,7,left knee injury
Jaylen Nowell,Timberwolves,26 February 2023,20 March 2023,22,left knee injury
Devin Vassell,Spurs,03 March 2023,05 March 2023,2,left knee injury
Jonathan Isaac,Magic,25 February 2023,03 March 2023,6,left knee injury
Robert Williams,Celtics,23 January 2023,24 January 2023,1,left knee injury
Joe Ingles,Bucks,12 January 2023,17 January 2023,5,left knee injury
John Wall,Clippers,27 December 2022,29 December 2022,2,left knee injury
Kemba Walker,Mavericks,25 December 2022,27 December 2022,2,left knee injury
Furkan Korkmaz,76ers,13 November 2022,22 November 2022,9,left knee injury
John Wall,Clippers,14 November 2022,15 November 2022,1,left knee injury
Larry Nance Jr.,Pelicans,09 November 2022,10 November 2022,1,left knee injury
Ben Simmons,Nets,31 October 2022,07 November 2022,7,left knee injury
P.J. Tucker,Heat,03 April 2022,04 April 2022,1,left knee injury
Danuel House Jr.,Jazz,15 March 2022,31 March 2022,16,left knee injury
Markelle Fultz,Magic,23 March 2022,26 March 2022,3,left knee injury
David Johnson,Raptors,18 March 2022,20 March 2022,2,left knee injury
Markelle Fultz,Magic,09 March 2022,11 March 2022,2,left knee injury
David Johnson,Raptors,03 March 2022,06 March 2022,3,left knee injury
Markelle Fultz,Magic,04 March 2022,05 March 2022,1,left knee injury
P.J. Tucker,Heat,03 March 2022,05 March 2022,2,left knee injury
R.J. Hampton,Magic,20 January 2022,24 February 2022,35,left knee injury
RJ Hampton,Magic,20 January 2022,24 February 2022,35,left knee injury
Zach LaVine,Bulls,12 February 2022,23 February 2022,11,left knee injury
Maxi Kleber,Mavericks,04 February 2022,08 February 2022,4,left knee injury
P.J. Tucker,Heat,31 January 2022,01 February 2022,1,left knee injury
Zach LaVine,Bulls,15 January 2022,24 January 2022,9,left knee injury
Jaren Jackson Jr.,Grizzlies,14 May 2021,16 May 2021,2,left knee injury
Jaren Jackson Jr.,Grizzlies,11 May 2021,13 May 2021,2,left knee injury
Jaren Jackson Jr.,Grizzlies,04 May 2021,06 May 2021,2,left knee injury
Jaren Jackson Jr.,Grizzlies,29 April 2021,01 May 2021,2,left knee injury
Jaren Jackson Jr.,Grizzlies,24 April 2021,26 April 2021,2,left knee injury
Kemba Walker,Celtics,23 April 2021,25 April 2021,2,left knee injury
Jaren Jackson Jr.,Grizzlies,23 December 2020,21 April 2021,119,left knee injury
Blake Griffin,Nets,14 April 2021,16 April 2021,2,left knee injury
Kemba Walker,Celtics,07 April 2021,09 April 2021,2,left knee injury
Patrick McCaw,Raptors,24 March 2021,09 April 2021,16,left knee injury
Blake Griffin,Nets,05 April 2021,07 April 2021,2,left knee injury
John Wall,Rockets,04 April 2021,07 April 2021,3,left knee injury
Joel Embiid,76ers,04 April 2021,05 April 2021,1,left knee injury
Blake Griffin,Nets,01 April 2021,04 April 2021,3,left knee injury
John Wall,Rockets,31 March 2021,04 April 2021,4,left knee injury
Kemba Walker,Celtics,27 March 2021,29 March 2021,2,left knee injury
Blake Griffin,Nets,24 March 2021,25 March 2021,1,left knee injury
Kemba Walker,Celtics,22 March 2021,23 March 2021,1,left knee injury
Blake Griffin,Nets,10 March 2021,21 March 2021,11,left knee injury
Kemba Walker,Celtics,17 March 2021,19 March 2021,2,left knee injury
Blake Griffin,Pistons,14 February 2021,05 March 2021,19,left knee injury
Kemba Walker,Celtics,24 February 2021,26 February 2021,2,left knee injury
Kemba Walker,Celtics,17 February 2021,19 February 2021,2,left knee injury
Patrick McCaw,Raptors,22 December 2020,19 February 2021,59,left knee injury
Kemba Walker,Celtics,12 February 2021,14 February 2021,2,left knee injury
Derrick Rose,Knicks,05 February 2021,09 February 2021,4,left knee injury
James Johnson,Mavericks,06 February 2021,08 February 2021,2,left knee injury
Kemba Walker,Celtics,03 February 2021,04 February 2021,1,left knee injury
Blake Griffin,Pistons,27 January 2021,28 January 2021,1,left knee injury
Kemba Walker,Celtics,25 January 2021,27 January 2021,2,left knee injury
Pascal Siakam,Raptors,24 January 2021,27 January 2021,3,left knee injury
Blake Griffin,Pistons,23 January 2021,25 January 2021,2,left knee injury
Kemba Walker,Celtics,23 December 2020,17 January 2021,25,left knee injury
Blake Griffin,Pistons,27 December 2020,29 December 2020,2,left knee injury
Rondae Hollis-Jefferson,Raptors,21 August 2020,23 August 2020,2,left knee injury
Kemba Walker,Celtics,12 August 2020,17 August 2020,5,left knee injury
Kristaps Porzingis,Mavericks,09 August 2020,11 August 2020,2,left knee injury
Andre Roberson,Thunder,23 October 2019,31 July 2020,282,left knee injury
Jonathan Isaac,Magic,03 January 2020,31 July 2020,210,left knee injury
D.J. Augustin,Magic,15 January 2020,21 February 2020,37,left knee injury
Bruno Caboclo,Rockets,14 January 2020,20 February 2020,37,left knee injury
Seth Curry,Mavericks,03 February 2020,07 February 2020,4,left knee injury
Christian Wood,Pistons,20 December 2019,23 December 2019,3,left knee injury
Shake Milton,76ers,30 October 2019,12 November 2019,13,left knee injury
Hassan Whiteside,Blazers,02 November 2019,04 November 2019,2,left knee injury
CJ McCollum,Blazers,18 March 2019,07 April 2019,20,left knee injury
Moe Harkless,Blazers,15 March 2019,16 March 2019,1,left knee injury
Evan Turner,Blazers,09 March 2019,12 March 2019,3,left knee injury
Maxi Kleber,Mavericks,06 March 2019,10 March 2019,4,left knee injury
Josh Hart,Lakers,05 February 2019,07 February 2019,2,left knee injury
Moe Harkless,Blazers,08 January 2019,18 January 2019,10,left knee injury
Marvin Bagley III,Kings,16 December 2018,07 January 2019,22,left knee injury
Moe Harkless,Blazers,05 January 2019,07 January 2019,2,left knee injury
Moe Harkless,Blazers,30 December 2018,01 January 2019,2,left knee injury
Brandon Knight,Rockets,17 October 2018,13 December 2018,57,left knee injury
